away_team,home_team,total_away_score,total_home_score
DEN,ATL,14,10
NYJ,NYG,22,31
IND,BUF,16,24
ATL,MIA,27,34
NE,DET,31,3
JAX,BAL,0,29
WAS,CLE,10,30
TEN,PHI,27,10
HOU,GB,26,28
CAR,CHI,23,13
LAC,ARI,13,17
DEN,SEA,14,22
TB,PIT,28,30
MIN,NO,34,25
LAR,OAK,3,14
CIN,KC,17,38
DAL,SF,9,17
PHI,JAX,24,10
CIN,WAS,23,13
NYJ,ATL,22,10
GB,BAL,13,26
OAK,ARI,33,26
BUF,CAR,27,14
MIA,TB,14,16
CHI,NYG,13,32
CLE,IND,21,18
NE,TEN,22,17
KC,PIT,7,17
DET,HOU,23,30
DAL,LAR,14,10
NO,LAC,19,17
SEA,MIN,19,25
SF,DEN,24,15
NYG,CIN,25,23
BAL,PHI,26,15
CAR,NE,3,10
WAS,ATL,19,7
JAX,MIA,7,22
GB,OAK,21,22
CLE,TB,12,13
BUF,DET,24,20
ARI,MIN,9,20
HOU,DAL,0,34
CHI,IND,27,17
NO,NYJ,28,13
SF,KC,27,17
DEN,LAR,6,10
SEA,LAC,23,15
PIT,TEN,18,6