team,turnDiff,dypp,oypg,nypg
BAL,1,3.8,4.8,1
NE,0,3.6,5.4,1.8
NYG,0,4.4,6.2,1.8
ATL,0,4.4,4.3,-0.1
DEN,-2,4.7,3.7,-1
OAK,-2,4.8,5.3,0.5
BUF,-2,4.4,5.8,1.4
LAC,0,5.1,5.5,0.4
SF,-1,4,5.5,1.5
TEN,3,5.5,4.7,-0.8
SEA,1,5.2,4.9,-0.3
KC,2,5.2,5.5,0.3
DAL,1,4.1,4.4,0.3
CIN,-3,5.5,5,-0.5
JAX,-1,4.5,3.5,-1
TB,0,4.3,4.7,0.4
CAR,-1,5,3.7,-1.3
HOU,-3,5.4,4.8,-0.6
PHI,-2,4.6,4.8,0.2
MIA,-2,4.6,4.7,0.1
IND,1,5.3,5.1,-0.2
CLE,2,4.5,4.8,0.3
LAR,2,4.6,4.4,-0.2
MIN,0,5.1,6.5,1.4
CHI,3,5.2,4.2,-1
ARI,1,6.1,5.5,-0.6
WAS,-2,5.1,4.6,-0.5
NYJ,2,5.7,4.5,-1.2
GB,3,5.2,4.5,-0.7
PIT,1,4.9,5.7,0.8
DET,-1,5.9,4.8,-1.1
NO,-1,6.1,5.4,-0.7